"archive_path","entry_path","depth","entry_kind","uncompressed_size_bytes","compressed_size_bytes","last_write_time"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/","2","directory","0","0","2025-04-17T11:21:22.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/T3_Current_data.csv","2","file","53306265","7003085","2025-04-23T10:25:30.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/T3_Delta_T_data.csv","2","file","104631974","1388801","2025-04-23T10:26:34.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/T3_X_data.csv","2","file","57576913","15255960","2025-04-23T10:22:38.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/T3_Y_data.csv","2","file","58268597","15248224","2025-04-23T10:23:38.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/6screws/T3_Z_data.csv","2","file","57087072","15492220","2025-04-23T10:24:36.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/","2","directory","0","0","2025-04-17T11:19:28.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/T3_Current_data.csv","2","file","53438656","6935338","2025-04-23T10:19:56.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/T3_Delta_T_data.csv","2","file","104617529","1433566","2025-04-23T10:20:58.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/T3_X_data.csv","2","file","57587301","15336361","2025-04-23T10:17:12.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/T3_Y_data.csv","2","file","58150810","15295414","2025-04-23T10:18:04.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/7screws/T3_Z_data.csv","2","file","57187293","15529559","2025-04-23T10:19:00.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/","2","directory","0","0","2025-04-17T11:17:34.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/T3_Current_data.csv","2","file","53324379","7107832","2025-04-23T10:14:32.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/T3_Delta_T_data.csv","2","file","104622369","1427451","2025-04-23T10:15:32.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/T3_X_data.csv","2","file","57784206","15089514","2025-04-23T10:11:44.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/T3_Y_data.csv","2","file","58407380","15198050","2025-04-23T10:12:42.0000000+08:00"
"馬達研究\階段3.zip::階段3/csv.zip::csv/T3/8000rpm.zip","8000rpm/8screws/T3_Z_data.csv","2","file","57090280","15412016","2025-04-23T10:13:42.0000000+08:00"
