epoch,t,truth,score,verdict,predicted,ewma,cusum,quarantine,n_known,source_mode
4,309,8screws,0.8202,healthy,8screws,0.1678,0.0,0,1,manual
4,310,8screws,0.8758,healthy,8screws,0.1544,0.0,0,1,manual
4,311,8screws,0.8762,healthy,8screws,0.142,0.0,0,1,manual
4,312,8screws,0.8127,healthy,8screws,0.1307,0.0,0,1,manual
4,313,8screws,1.0092,unknown,,0.2002,0.01,0,1,manual
4,314,8screws,0.8547,healthy,8screws,0.1842,0.0,0,1,manual
4,315,8screws,0.7619,healthy,8screws,0.1695,0.0,0,1,manual
4,316,8screws,0.8478,healthy,8screws,0.1559,0.0,0,1,manual
4,317,8screws,0.7661,healthy,8screws,0.1434,0.0,0,1,manual
4,318,8screws,0.8152,healthy,8screws,0.132,0.0,0,1,manual
4,319,8screws,0.8497,healthy,8screws,0.1214,0.0,0,1,manual
4,320,8screws,0.7888,healthy,8screws,0.1117,0.0,0,1,manual
4,321,8screws,0.988,healthy,8screws,0.1028,0.0,0,1,manual
4,322,8screws,0.8342,healthy,8screws,0.0945,0.0,0,1,manual
4,323,8screws,0.9043,healthy,8screws,0.087,0.0,0,1,manual
4,324,8screws,0.9651,healthy,8screws,0.08,0.0,0,1,manual
4,325,8screws,0.8127,healthy,8screws,0.0736,0.0,0,1,manual
4,326,8screws,0.8758,healthy,8screws,0.0677,0.0,0,1,manual
4,327,8screws,0.9306,healthy,8screws,0.0623,0.0,0,1,manual
4,328,8screws,1.0092,unknown,,0.1373,0.01,0,1,manual
4,329,8screws,0.9578,healthy,8screws,0.1263,0.0,0,1,manual
4,330,8screws,0.7991,healthy,8screws,0.1162,0.0,0,1,manual
4,331,8screws,0.9288,healthy,8screws,0.1069,0.0,0,1,manual
4,332,8screws,0.7537,healthy,8screws,0.0984,0.0,0,1,manual
4,333,8screws,0.8944,healthy,8screws,0.0905,0.0,0,1,manual
4,334,8screws,0.8548,healthy,8screws,0.0833,0.0,0,1,manual
4,335,8screws,0.8051,healthy,8screws,0.0766,0.0,0,1,manual
4,336,8screws,0.8636,healthy,8screws,0.0705,0.0,0,1,manual
4,337,8screws,0.9564,healthy,8screws,0.0648,0.0,0,1,manual
4,338,8screws,0.8547,healthy,8screws,0.0597,0.0,0,1,manual
4,339,8screws,0.9605,healthy,8screws,0.0549,0.0,0,1,manual
4,340,8screws,0.7903,healthy,8screws,0.0505,0.0,0,1,manual
